Word,Gender,Number,Lemma
a-humain,masculine,singular,a-humain
a-raciste,masculine,singular,a-raciste
aalénien,masculine,singular,aalénien
aaléniens,masculine,plural,aalénien
aalénienne,feminine,singular,aalénien
aaléniennes,feminine,plural,aalénien
aaronide,masculine,singular,aaronide
abactérien,masculine,singular,abactérien
abactériens,masculine,plural,abactérien
abactérienne,feminine,singular,abactérien
abactériennes,feminine,plural,abactérien
abaissable,invariable,singular,abaissable
abaissables,invariable,plural,abaissable
abaissant,masculine,singular,abaissant
abaissants,masculine,plural,abaissant
abaissante,feminine,singular,abaissant
abaissantes,feminine,plural,abaissant
abaisseur,masculine,singular,abaisseur
abaisseurs,masculine,plural,abaisseur
abaisseuse,feminine,singular,abaisseur
abaisseuses,feminine,plural,abaisseur
abaissé,masculine,singular,abaissé
abaissés,masculine,plural,abaissé
abaissée,feminine,singular,abaissé
abaissées,feminine,plural,abaissé
abandonnique,invariable,singular,abandonnique
abandonniques,invariable,plural,abandonnique
abandonné,masculine,singular,abandonné
abandonnés,masculine,plural,abandonné
abandonnée,feminine,singular,abandonné
abandonnées,feminine,plural,abandonné
abarticulaire,invariable,singular,abarticulaire
abarticulaires,invariable,plural,abarticulaire
abasourdi,masculine,singular,abasourdi
abasourdis,masculine,plural,abasourdi
abasourdie,feminine,singular,abasourdi
abasourdies,feminine,plural,abasourdi
abasourdissant,masculine,singular,abasourdissant
abasourdissants,masculine,plural,abasourdissant
abasourdissante,feminine,singular,abasourdissant
abasourdissantes,feminine,plural,abasourdissant
abattable,invariable,singular,abattable
abattables,invariable,plural,abattable
abattant,masculine,singular,abattant
abattants,masculine,plural,abattant
abattante,feminine,singular,abattant
abattantes,feminine,plural,abattant
abatteur,masculine,singular,abatteur
abatteurs,masculine,plural,abatteur
abatteuse,feminine,singular,abatteur
abatteuses,feminine,plural,abatteur
abattu,masculine,singular,abattu
abattus,masculine,plural,abattu
abattue,feminine,singular,abattu
abattues,feminine,plural,abattu
abaza,invariable,singular,abaza
abazas,invariable,plural,abaza
abbasside,invariable,singular,abbasside
abbassides,invariable,plural,abbasside
abbatial,masculine,singular,abbatial
abbatiaux,masculine,plural,abbatial
abbatiale,feminine,singular,abbatial
abbatiales,feminine,plural,abbatial
abbevillien,masculine,singular,abbevillien
abbevilliens,masculine,plural,abbevillien
abbevillienne,feminine,singular,abbevillien
abbevilliennes,feminine,plural,abbevillien
abbevilloise,feminine,singular,abbevillois
abbevilloises,feminine,plural,abbevillois
abbevillois,masculine,invariable,abbevillois
abcédant,masculine,singular,abcédant
abcédants,masculine,plural,abcédant
abcédante,feminine,singular,abcédant
abcédantes,feminine,plural,abcédant
abdicataire,invariable,singular,abdicataire
abdicataires,invariable,plural,abdicataire
abdicatif,masculine,singular,abdicatif
abdicatifs,masculine,plural,abdicatif
abdicative,feminine,singular,abdicatif
abdicatives,feminine,plural,abdicatif
abdominal,masculine,singular,abdominal
abdominaux,masculine,plural,abdominal
abdominale,feminine,singular,abdominal
abdominales,feminine,plural,abdominal
abdominien,masculine,singular,abdominien
abdomino-coraco-huméral,masculine,singular,abdomino-coraco-huméral
abdomino-guttural,masculine,singular,abdomino-guttural
abdomino-génital,masculine,singular,abdomino-génital
abdomino-génitaux,masculine,plural,abdomino-génital
abdomino-génitale,feminine,singular,abdomino-génital
abdomino-génitales,feminine,plural,abdomino-génital
abdomino-huméral,masculine,singular,abdomino-huméral
abdomino-périnéal,masculine,singular,abdomino-périnéal
abdomino-scrotal,masculine,singular,abdomino-scrotal
abdomino-thoracique,invariable,singular,abdomino-thoracique
abdominoscopique,invariable,singular,abdominoscopique
abdominoscopiques,invariable,plural,abdominoscopique
abducteur,masculine,singular,abducteur
abducteurs,masculine,plural,abducteur
abductrice,feminine,singular,abducteur
abductrices,feminine,plural,abducteur
abdéritain,masculine,singular,abdéritain
abdéritains,masculine,plural,abdéritain
abdéritaine,feminine,singular,abdéritain
abdéritaines,feminine,plural,abdéritain
abeiller,masculine,singular,abeiller
abeillers,masculine,plural,abeiller
abeillère,feminine,singular,abeiller
abeillères,feminine,plural,abeiller
abeillé,masculine,singular,abeillé
abeillés,masculine,plural,abeillé
abeillée,feminine,singular,abeillé
abeillées,feminine,plural,abeillé
aberrant,masculine,singular,aberrant
aberrants,masculine,plural,aberrant
aberrante,feminine,singular,aberrant
aberrantes,feminine,plural,aberrant
abgal,invariable,singular,abgal
abgals,invariable,plural,abgal
abhorrable,invariable,singular,abhorrable
abhorrables,invariable,plural,abhorrable
abhorré,masculine,singular,abhorré
abhorrés,masculine,plural,abhorré
abhorrée,feminine,singular,abhorré
abhorrées,feminine,plural,abhorré
abimé,masculine,singular,abimé
abimés,masculine,plural,abimé
abimée,feminine,singular,abimé
abimées,feminine,plural,abimé
abiotique,invariable,singular,abiotique
abiotiques,invariable,plural,abiotique
abiétin,masculine,singular,abiétin
abiétins,masculine,plural,abiétin
abiétine,feminine,singular,abiétin
abiétines,feminine,plural,abiétin
abiétiné,masculine,singular,abiétiné
abiétinés,masculine,plural,abiétiné
abiétinée,feminine,singular,abiétiné
abiétinées,feminine,plural,abiétiné
abiétique,invariable,singular,abiétique
abiétiques,invariable,plural,abiétique
abiétoformophénolique,invariable,singular,abiétoformophénolique
abiétoformophénoliques,invariable,plural,abiétoformophénolique
abiétoglycérophtalique,invariable,singular,abiétoglycérophtalique
abiétoglycérophtaliques,invariable,plural,abiétoglycérophtalique
abiétomaléique,invariable,singular,abiétomaléique
abiétomaléiques,invariable,plural,abiétomaléique
abject,masculine,singular,abject
abjects,masculine,plural,abject
abjecte,feminine,singular,abject
abjectes,feminine,plural,abject
abjurant,masculine,singular,abjurant
abjurants,masculine,plural,abjurant
abjurante,feminine,singular,abjurant
abjurantes,feminine,plural,abjurant
abjurateur,masculine,singular,abjurateur
abjurateurs,masculine,plural,abjurateur
abjuratrice,feminine,singular,abjurateur
abjuratrices,feminine,plural,abjurateur
abjuratoire,invariable,singular,abjuratoire
abjuratoires,invariable,plural,abjuratoire
abkhaze,invariable,singular,abkhaze
abkhazes,invariable,plural,abkhaze
ablatif,masculine,singular,ablatif
ablatifs,masculine,plural,ablatif
ablative,feminine,singular,ablatif
ablatives,feminine,plural,ablatif
abluant,masculine,singular,abluant
abluants,masculine,plural,abluant
abluante,feminine,singular,abluant
abluantes,feminine,plural,abluant
ablépharoplastique,invariable,singular,ablépharoplastique
ablépharoplastiques,invariable,plural,ablépharoplastique
aboli,masculine,singular,aboli
abolis,masculine,plural,aboli
abolie,feminine,singular,aboli
abolies,feminine,plural,aboli
abolissable,invariable,singular,abolissable
abolissables,invariable,plural,abolissable
abolitif,masculine,singular,abolitif
abolitifs,masculine,plural,abolitif
abolitive,feminine,singular,abolitif
abolitives,feminine,plural,abolitif
abolitionniste,invariable,singular,abolitionniste
abolitionnistes,invariable,plural,abolitionniste
abominable,invariable,singular,abominable
abominables,invariable,plural,abominable
abondanciste,invariable,singular,abondanciste
abondancistes,invariable,plural,abondanciste
abondant,masculine,singular,abondant
abondants,masculine,plural,abondant
abondante,feminine,singular,abondant
abondantes,feminine,plural,abondant
abondé,masculine,singular,abondé
abondés,masculine,plural,abondé
abondée,feminine,singular,abondé
abondées,feminine,plural,abondé
abonnable,invariable,singular,abonnable
abonnables,invariable,plural,abonnable
abonnataire,invariable,singular,abonnataire
abonnataires,invariable,plural,abonnataire
abonni,masculine,singular,abonni
abonnis,masculine,plural,abonni
abonnie,feminine,singular,abonni
abonnies,feminine,plural,abonni
abonné,masculine,singular,abonné
abonnés,masculine,plural,abonné
abonnée,feminine,singular,abonné
abonnées,feminine,plural,abonné
aboral,masculine,singular,aboral
aboraux,masculine,plural,aboral
aborale,feminine,singular,aboral
aborales,feminine,plural,aboral
abordable,invariable,singular,abordable
abordables,invariable,plural,abordable
abordeur,masculine,singular,abordeur
abordeurs,masculine,plural,abordeur
abordé,masculine,singular,abordé
abordés,masculine,plural,abordé
abordée,feminine,singular,abordé
abordées,feminine,plural,abordé
aborigène,invariable,singular,aborigène
aborigènes,invariable,plural,aborigène
aborné,masculine,singular,aborné
abornés,masculine,plural,aborné
abornée,feminine,singular,aborné
abornées,feminine,plural,aborné
abortif,masculine,singular,abortif
abortifs,masculine,plural,abortif
abortive,feminine,singular,abortif
abortives,feminine,plural,abortif
aborto-préventif,masculine,singular,aborto-préventif
abotté,masculine,singular,abotté
abottés,masculine,plural,abotté
abottée,feminine,singular,abotté
abottées,feminine,plural,abotté
aboté,masculine,singular,aboté
abotés,masculine,plural,aboté
abotée,feminine,singular,aboté
abotées,feminine,plural,aboté
abougri,masculine,singular,abougri
abougris,masculine,plural,abougri
abougrie,feminine,singular,abougri
abougries,feminine,plural,abougri
aboulique,invariable,singular,aboulique
abouliques,invariable,plural,aboulique
abouti,masculine,singular,abouti
aboutis,masculine,plural,abouti
aboutie,feminine,singular,abouti
abouties,feminine,plural,abouti
aboutissant,masculine,singular,aboutissant
aboutissants,masculine,plural,aboutissant
aboutissante,feminine,singular,aboutissant
aboutissantes,feminine,plural,aboutissant
abouté,masculine,singular,abouté
aboutés,masculine,plural,abouté
aboutée,feminine,singular,abouté
aboutées,feminine,plural,abouté
aboyant,masculine,singular,aboyant
aboyants,masculine,plural,aboyant
aboyante,feminine,singular,aboyant
aboyantes,feminine,plural,aboyant
aboyeur,masculine,singular,aboyeur
aboyeurs,masculine,plural,aboyeur
aboyeuse,feminine,singular,aboyeur
aboyeuses,feminine,plural,aboyeur
aboyé,masculine,singular,aboyé
aboyés,masculine,plural,aboyé
aboyée,feminine,singular,aboyé
aboyées,feminine,plural,aboyé
abracadabrant,masculine,singular,abracadabrant
abracadabrants,masculine,plural,abracadabrant
abracadabrante,feminine,singular,abracadabrant
abracadabrantes,feminine,plural,abracadabrant
abracadabrantesque,invariable,singular,abracadabrantesque
abracadabrantesques,invariable,plural,abracadabrantesque
abranche,invariable,singular,abranche
abranches,invariable,plural,abranche
abrasif,masculine,singular,abrasif
abrasifs,masculine,plural,abrasif
abrasive,feminine,singular,abrasif
abrasives,feminine,plural,abrasif
abreuvé,masculine,singular,abreuvé
abreuvés,masculine,plural,abreuvé
abreuvée,feminine,singular,abreuvé
abreuvées,feminine,plural,abreuvé
abricot,invariable,invariable,abricot
abricoté,masculine,singular,abricoté
abricotés,masculine,plural,abricoté
abricotée,feminine,singular,abricoté
abricotées,feminine,plural,abricoté
abritant,masculine,singular,abritant
abritants,masculine,plural,abritant
abritante,feminine,singular,abritant
abritantes,feminine,plural,abritant
abrité,masculine,singular,abrité
abrités,masculine,plural,abrité
abritée,feminine,singular,abrité
abritées,feminine,plural,abrité
abrogatif,masculine,singular,abrogatif
abrogatifs,masculine,plural,abrogatif
abrogative,feminine,singular,abrogatif
abrogatives,feminine,plural,abrogatif
abrogatoire,invariable,singular,abrogatoire
abrogatoires,invariable,plural,abrogatoire
abrogeable,invariable,singular,abrogeable
abrogeables,invariable,plural,abrogeable
abrogé,masculine,singular,abrogé
abrogés,masculine,plural,abrogé
abrogée,feminine,singular,abrogé
abrogées,feminine,plural,abrogé
abrotonoïde,invariable,singular,abrotonoïde
abrotonoïdes,invariable,plural,abrotonoïde
abrouti,masculine,singular,abrouti
abroutis,masculine,plural,abrouti
abroutie,feminine,singular,abrouti
abrouties,feminine,plural,abrouti
abrupt,masculine,singular,abrupt
abrupts,masculine,plural,abrupt
abrupte,feminine,singular,abrupt
abruptes,feminine,plural,abrupt
abruptipenné,masculine,singular,abruptipenné
abruptipennés,masculine,plural,abruptipenné
abruptipennée,feminine,singular,abruptipenné
abruptipennées,feminine,plural,abruptipenné
abruti,masculine,singular,abruti
abrutis,masculine,plural,abruti
abrutie,feminine,singular,abruti
abruties,feminine,plural,abruti
abrutissant,masculine,singular,abrutissant
abrutissants,masculine,plural,abrutissant
abrutissante,feminine,singular,abrutissant
abrutissantes,feminine,plural,abrutissant
abrutisseur,masculine,singular,abrutisseur
abrutisseurs,masculine,plural,abrutisseur
abrutisseuse,feminine,singular,abrutisseur
abrutisseuses,feminine,plural,abrutisseur
abruzzain,masculine,singular,abruzzain
abruzzains,masculine,plural,abruzzain
abruzzaine,feminine,singular,abruzzain
abruzzaines,feminine,plural,abruzzain
abruzzais,masculine,singular,abruzzais
abruzzaise,feminine,singular,abruzzais
abruzzaises,invariable,plural,abruzzais
abrégeable,invariable,singular,abrégeable
abrégeables,invariable,plural,abrégeable
abrégé,masculine,singular,abrégé
abrégés,masculine,plural,abrégé
abrégée,feminine,singular,abrégé
abrégées,feminine,plural,abrégé
abréviateur,masculine,singular,abréviateur
abréviateurs,masculine,plural,abréviateur
abréviatrice,feminine,singular,abréviateur
abréviatrices,feminine,plural,abréviateur
abréviatif,masculine,singular,abréviatif
abréviatifs,masculine,plural,abréviatif
abréviative,feminine,singular,abréviatif
abréviatives,feminine,plural,abréviatif
abrévié,masculine,singular,abrévié
abréviés,masculine,plural,abrévié
abréviée,feminine,singular,abrévié
abréviées,feminine,plural,abrévié
absalonien,masculine,singular,absalonien
absaloniens,masculine,plural,absalonien
absalonienne,feminine,singular,absalonien
absaloniennes,feminine,plural,absalonien
abscissique,invariable,singular,abscissique
abscissiques,invariable,plural,abscissique
absconse,feminine,singular,abscons
absconses,feminine,plural,abscons
abscons,masculine,invariable,abscons
absent,masculine,singular,absent
absents,masculine,plural,absent
absente,feminine,singular,absent
absentes,feminine,plural,absent
absentéiste,invariable,singular,absentéiste
absentéistes,invariable,plural,absentéiste
absidal,masculine,singular,absidal
absidaux,masculine,plural,absidal
absidale,feminine,singular,absidal
absidales,feminine,plural,absidal
absidial,masculine,singular,absidial
absidiaux,masculine,plural,absidial
absidiale,feminine,singular,absidial
absidiales,feminine,plural,absidial
absinthique,invariable,singular,absinthique
absinthiques,invariable,plural,absinthique
absinthé,masculine,singular,absinthé
absinthés,masculine,plural,absinthé
absinthée,feminine,singular,absinthé
absinthées,feminine,plural,absinthé
absolu,masculine,singular,absolu
absolus,masculine,plural,absolu
absolue,feminine,singular,absolu
absolues,feminine,plural,absolu
absoluteur,masculine,singular,absoluteur
absoluteurs,masculine,plural,absoluteur
absolutrice,feminine,singular,absoluteur
absolutrices,feminine,plural,absoluteur
absolutif,masculine,singular,absolutif
absolutifs,masculine,plural,absolutif
absolutive,feminine,singular,absolutif
absolutives,feminine,plural,absolutif
absolutionnel,masculine,singular,absolutionnel
absolutionnels,masculine,plural,absolutionnel
absolutionnelle,feminine,singular,absolutionnel
absolutionnelles,feminine,plural,absolutionnel
absolutiste,invariable,singular,absolutiste
absolutistes,invariable,plural,absolutiste
absolutoire,invariable,singular,absolutoire
absolutoires,invariable,plural,absolutoire
absolvant,masculine,singular,absolvant
absolvants,masculine,plural,absolvant
absolvante,feminine,singular,absolvant
absolvantes,feminine,plural,absolvant
absorbable,invariable,singular,absorbable
absorbables,invariable,plural,absorbable
absorbant,masculine,singular,absorbant
absorbants,masculine,plural,absorbant
absorbante,feminine,singular,absorbant
absorbantes,feminine,plural,absorbant
absorbeur,masculine,singular,absorbeur
absorbeurs,masculine,plural,absorbeur
absorbeuse,feminine,singular,absorbeur
absorbeuses,feminine,plural,absorbeur
absorbé,masculine,singular,absorbé
absorbés,masculine,plural,absorbé
absorbée,feminine,singular,absorbé
absorbées,feminine,plural,absorbé
absorptif,masculine,singular,absorptif
absorptifs,masculine,plural,absorptif
absorptive,feminine,singular,absorptif
absorptives,feminine,plural,absorptif
absout,masculine,singular,absout
absouts,masculine,plural,absout
absoute,feminine,singular,absout
absoutes,feminine,plural,absout
abstentionniste,invariable,singular,abstentionniste
abstentionnistes,invariable,plural,abstentionniste
abstergent,masculine,singular,abstergent
abstergents,masculine,plural,abstergent
abstergente,feminine,singular,abstergent
abstergentes,feminine,plural,abstergent
abstersif,masculine,singular,abstersif
abstersifs,masculine,plural,abstersif
abstersive,feminine,singular,abstersif
abstersives,feminine,plural,abstersif
abstinent,masculine,singular,abstinent
abstinents,masculine,plural,abstinent
abstinente,feminine,singular,abstinent
abstinentes,feminine,plural,abstinent
abstracteur,masculine,singular,abstracteur
abstracteurs,masculine,plural,abstracteur
abstractrice,feminine,singular,abstracteur
abstractrices,feminine,plural,abstracteur
abstractif,masculine,singular,abstractif
abstractifs,masculine,plural,abstractif
abstractive,feminine,singular,abstractif
abstractives,feminine,plural,abstractif
abstractionniste,invariable,singular,abstractionniste
abstractionnistes,invariable,plural,abstractionniste
abstrait,masculine,singular,abstrait
abstraits,masculine,plural,abstrait
abstraite,feminine,singular,abstrait
abstraites,feminine,plural,abstrait
abstrayant,masculine,singular,abstrayant
abstrayants,masculine,plural,abstrayant
abstrayante,feminine,singular,abstrayant
abstrayantes,feminine,plural,abstrayant
abstruse,feminine,singular,abstrus
abstruses,feminine,plural,abstrus
abstrus,masculine,invariable,abstrus
abstème,invariable,singular,abstème
abstèmes,invariable,plural,abstème
absurde,invariable,singular,absurde
absurdes,invariable,plural,absurde
absurdifiant,masculine,singular,absurdifiant
absurdifiants,masculine,plural,absurdifiant
absurdifiante,feminine,singular,absurdifiant
absurdifiantes,feminine,plural,absurdifiant
absurdiste,invariable,singular,absurdiste
absurdistes,invariable,plural,absurdiste
abusant,masculine,singular,abusant
abusants,masculine,plural,abusant
abusante,feminine,singular,abusant
abusantes,feminine,plural,abusant
abusif,masculine,singular,abusif
abusifs,masculine,plural,abusif
abusive,feminine,singular,abusif
abusives,feminine,plural,abusif
abusé,masculine,singular,abusé
abusés,masculine,plural,abusé
abusée,feminine,singular,abusé
abusées,feminine,plural,abusé
abyssal,masculine,singular,abyssal
abyssaux,masculine,plural,abyssal
abyssale,feminine,singular,abyssal
abyssales,feminine,plural,abyssal
abyssin,masculine,singular,abyssin
abyssins,masculine,plural,abyssin
abyssine,feminine,singular,abyssin
abyssines,feminine,plural,abyssin
abyssinien,masculine,singular,abyssinien
abyssiniens,masculine,plural,abyssinien
abyssinienne,feminine,singular,abyssinien
abyssiniennes,feminine,plural,abyssinien
abyssinique,invariable,singular,abyssinique
abyssiniques,invariable,plural,abyssinique
abyssique,invariable,singular,abyssique
abyssiques,invariable,plural,abyssique
abyssopélagique,invariable,singular,abyssopélagique
abyssopélagiques,invariable,plural,abyssopélagique
abâtardi,masculine,singular,abâtardi
abâtardis,masculine,plural,abâtardi
abâtardie,feminine,singular,abâtardi
abâtardies,feminine,plural,abâtardi
abécédaire,invariable,singular,abécédaire
abécédaires,invariable,plural,abécédaire
abélianisé,masculine,singular,abélianisé
abélianisés,masculine,plural,abélianisé
abélianisée,feminine,singular,abélianisé
abélianisées,feminine,plural,abélianisé
abélien,masculine,singular,abélien
abéliens,masculine,plural,abélien
abélienne,feminine,singular,abélien
abéliennes,feminine,plural,abélien
abêti,masculine,singular,abêti
abêtis,masculine,plural,abêti
abêtie,feminine,singular,abêti
abêties,feminine,plural,abêti
abêtifié,masculine,singular,abêtifié
abêtifiés,masculine,plural,abêtifié
abêtifiée,feminine,singular,abêtifié
abêtifiées,feminine,plural,abêtifié
abêtissant,masculine,singular,abêtissant
abêtissants,masculine,plural,abêtissant
abêtissante,feminine,singular,abêtissant
abêtissantes,feminine,plural,abêtissant
abîmant,masculine,singular,abîmant
abîmants,masculine,plural,abîmant
abîmante,feminine,singular,abîmant
abîmantes,feminine,plural,abîmant
abîmé,masculine,singular,abîmé
abîmés,masculine,plural,abîmé
abîmée,feminine,singular,abîmé
abîmées,feminine,plural,abîmé
acacien,masculine,singular,acacien
acaciens,masculine,plural,acacien
academicus,masculine,invariable,academicus
acadien,masculine,singular,acadien
acadiens,masculine,plural,acadien
acadienne,feminine,singular,acadien
acadiennes,feminine,plural,acadien
académicien,masculine,singular,académicien
académiciens,masculine,plural,académicien
académicienne,feminine,singular,académicien
académiciennes,feminine,plural,académicien
académique,invariable,singular,académique
académiques,invariable,plural,académique
académisable,invariable,singular,académisable
académisables,invariable,plural,académisable
acagnardi,masculine,singular,acagnardi
acagnardis,masculine,plural,acagnardi
acagnardie,feminine,singular,acagnardi
acagnardies,feminine,plural,acagnardi
acagnardé,masculine,singular,acagnardé
acagnardés,masculine,plural,acagnardé
acagnardée,feminine,singular,acagnardé
acagnardées,feminine,plural,acagnardé
acajou,invariable,invariable,acajou
acalculique,invariable,singular,acalculique
acalculiques,invariable,plural,acalculique
acalifourchonné,masculine,singular,acalifourchonné
acalifourchonnés,masculine,plural,acalifourchonné
acalifourchonnée,feminine,singular,acalifourchonné
acalifourchonnées,feminine,plural,acalifourchonné
acalorique,invariable,singular,acalorique
acaloriques,invariable,plural,acalorique
acamandé,masculine,singular,acamandé
acamandés,masculine,plural,acamandé
acamandée,feminine,singular,acamandé
acamandées,feminine,plural,acamandé
acanthacé,masculine,singular,acanthacé
acanthacés,masculine,plural,acanthacé
acanthacée,feminine,singular,acanthacé
acanthacées,feminine,plural,acanthacé
acanthope,masculine,singular,acanthope
acanthophile,masculine,singular,acanthophile
acardiaque,invariable,singular,acardiaque
acardiaques,invariable,plural,acardiaque
acaricide,invariable,singular,acaricide
acaricides,invariable,plural,acaricide
acaride,invariable,singular,acaride
acarides,invariable,plural,acaride
acarien,masculine,singular,acarien
acariens,masculine,plural,acarien
acarienne,feminine,singular,acarien
acariennes,feminine,plural,acarien
acariforme,invariable,singular,acariforme
acariformes,invariable,plural,acariforme
acariâtre,invariable,singular,acariâtre
acariâtres,invariable,plural,acariâtre
acarnanien,masculine,singular,acarnanien
acarnaniens,masculine,plural,acarnanien
acarnanienne,feminine,singular,acarnanien
acarnaniennes,feminine,plural,acarnanien
acarpe,invariable,singular,acarpe
acarpes,invariable,plural,acarpe
acarpellé,masculine,singular,acarpellé
acarpellés,masculine,plural,acarpellé
acarpellée,feminine,singular,acarpellé
acarpellées,feminine,plural,acarpellé
acatalecte,invariable,singular,acatalecte
acatalectes,invariable,plural,acatalecte
acatalectique,invariable,singular,acatalectique
acatalectiques,invariable,plural,acatalectique
acataleptique,invariable,singular,acataleptique
acataleptiques,invariable,plural,acataleptique
acathiste,invariable,singular,acathiste
acathistes,invariable,plural,acathiste
acatène,invariable,singular,acatène
acatènes,invariable,plural,acatène
acaude,invariable,singular,acaude
acaudes,invariable,plural,acaude
acaudé,masculine,singular,acaudé
acaudés,masculine,plural,acaudé
acaudée,feminine,singular,acaudé
acaudées,feminine,plural,acaudé
acaule,invariable,singular,acaule
acaules,invariable,plural,acaule
acausal,masculine,singular,acausal
acausaux,masculine,plural,acausal
acausale,feminine,singular,acausal
acausales,feminine,plural,acausal
accablant,masculine,singular,accablant
accablants,masculine,plural,accablant
accablante,feminine,singular,accablant
accablantes,feminine,plural,accablant
accablé,masculine,singular,accablé
accablés,masculine,plural,accablé
accablée,feminine,singular,accablé
accablées,feminine,plural,accablé
accade,invariable,singular,accade
accades,invariable,plural,accade
accadien,masculine,singular,accadien
accadiens,masculine,plural,accadien
accadienne,feminine,singular,accadien
accadiennes,feminine,plural,accadien
accalminé,masculine,singular,accalminé
accalminés,masculine,plural,accalminé
accalminée,feminine,singular,accalminé
accalminées,feminine,plural,accalminé
accaparant,masculine,singular,accaparant
accaparants,masculine,plural,accaparant
accaparante,feminine,singular,accaparant
accaparantes,feminine,plural,accaparant
accaparateur,masculine,singular,accaparateur
accaparateurs,masculine,plural,accaparateur
accaparatrice,feminine,singular,accaparateur
accaparatrices,feminine,plural,accaparateur
accapareur,masculine,singular,accapareur
accapareurs,masculine,plural,accapareur
accapareuse,feminine,singular,accapareur
accapareuses,feminine,plural,accapareur
accaparé,masculine,singular,accaparé
accaparés,masculine,plural,accaparé
accaparée,feminine,singular,accaparé
accaparées,feminine,plural,accaparé
accastillant,masculine,singular,accastillant
accastillants,masculine,plural,accastillant
accastillante,feminine,singular,accastillant
accastillantes,feminine,plural,accastillant
accastillé,masculine,singular,accastillé
accastillés,masculine,plural,accastillé
accastillée,feminine,singular,accastillé
accastillées,feminine,plural,accastillé
accentuable,invariable,singular,accentuable
accentuables,invariable,plural,accentuable
accentuel,masculine,singular,accentuel
accentuels,masculine,plural,accentuel
accentuelle,feminine,singular,accentuel
accentuelles,feminine,plural,accentuel
accentué,masculine,singular,accentué
accentués,masculine,plural,accentué
accentuée,feminine,singular,accentué
accentuées,feminine,plural,accentué
acceptable,invariable,singular,acceptable
acceptables,invariable,plural,acceptable
acceptant,masculine,singular,acceptant
acceptants,masculine,plural,acceptant
acceptante,feminine,singular,acceptant
acceptantes,feminine,plural,acceptant
acceptatif,masculine,singular,acceptatif
acceptatifs,masculine,plural,acceptatif
acceptative,feminine,singular,acceptatif
acceptatives,feminine,plural,acceptatif
accepteur,masculine,singular,accepteur
accepteurs,masculine,plural,accepteur
acceptrice,feminine,singular,accepteur
acceptrices,feminine,plural,accepteur
accepté,masculine,singular,accepté
acceptés,masculine,plural,accepté
acceptée,feminine,singular,accepté
acceptées,feminine,plural,accepté
accessible,invariable,singular,accessible
accessibles,invariable,plural,accessible
accessoire,invariable,singular,accessoire
accessoires,invariable,plural,accessoire
accessoiriste,invariable,singular,accessoiriste
accessoiristes,invariable,plural,accessoiriste
accessoirisé,masculine,singular,accessoirisé
accessoirisés,masculine,plural,accessoirisé
accessoirisée,feminine,singular,accessoirisé
accessoirisées,feminine,plural,accessoirisé
accidentel,masculine,singular,accidentel
accidentels,masculine,plural,accidentel
accidentelle,feminine,singular,accidentel
accidentelles,feminine,plural,accidentel
accidentogène,invariable,singular,accidentogène
accidentogènes,invariable,plural,accidentogène
accidentologique,invariable,singular,accidentologique
accidentologiques,invariable,plural,accidentologique
accidenté,masculine,singular,accidenté
accidentés,masculine,plural,accidenté
accidentée,feminine,singular,accidenté
accidentées,feminine,plural,accidenté
accipitrin,masculine,singular,accipitrin
accipitrins,masculine,plural,accipitrin
accipitrine,feminine,singular,accipitrin
accipitrines,feminine,plural,accipitrin
accitain,masculine,singular,accitain
accitains,masculine,plural,accitain
accitaine,feminine,singular,accitain
accitaines,feminine,plural,accitain
accitanien,masculine,singular,accitanien
accitaniens,masculine,plural,accitanien
accitanienne,feminine,singular,accitanien
accitaniennes,feminine,plural,accitanien
acclamant,masculine,singular,acclamant
acclamants,masculine,plural,acclamant
acclamante,feminine,singular,acclamant
acclamantes,feminine,plural,acclamant
acclamateur,masculine,singular,acclamateur
acclamateurs,masculine,plural,acclamateur
acclamatrice,feminine,singular,acclamateur
acclamatrices,feminine,plural,acclamateur
acclamé,masculine,singular,acclamé
acclamés,masculine,plural,acclamé
acclamée,feminine,singular,acclamé
acclamées,feminine,plural,acclamé
acclimatable,invariable,singular,acclimatable
acclimatables,invariable,plural,acclimatable
acclimaté,masculine,singular,acclimaté
acclimatés,masculine,plural,acclimaté
acclimatée,feminine,singular,acclimaté
acclimatées,feminine,plural,acclimaté
accointable,invariable,singular,accointable
accointables,invariable,plural,accointable
accolé,masculine,singular,accolé
accolés,masculine,plural,accolé
accolée,feminine,singular,accolé
accolées,feminine,plural,accolé
accombant,masculine,singular,accombant
accombants,masculine,plural,accombant
accombante,feminine,singular,accombant
accombantes,feminine,plural,accombant
accommodable,invariable,singular,accommodable
accommodables,invariable,plural,accommodable
accommodant,masculine,singular,accommodant
accommodants,masculine,plural,accommodant
accommodante,feminine,singular,accommodant
accommodantes,feminine,plural,accommodant
accommodateur,masculine,singular,accommodateur
accommodateurs,masculine,plural,accommodateur
accommodatrice,feminine,singular,accommodateur
accommodatrices,feminine,plural,accommodateur
accommodatice,invariable,singular,accommodatice
accommodatices,invariable,plural,accommodatice
accommodatif,masculine,singular,accommodatif
accommodatifs,masculine,plural,accommodatif
accommodative,feminine,singular,accommodatif
accommodatives,feminine,plural,accommodatif
accommodé,masculine,singular,accommodé
accommodés,masculine,plural,accommodé
accommodée,feminine,singular,accommodé
accommodées,feminine,plural,accommodé
accompagnant,masculine,singular,accompagnant
accompagnants,masculine,plural,accompagnant
